仓库,仓库类型,货主,货品ID,货品编号,货品名称,货品件数,空盒子库存,空盒子货品编码,空盒子货品名称,平均库龄,周转天数,同步时间
武清仓,维修库位,Learn and Play,674287,9787540893590,英语天天练小学核心1000词 （书号版）,241,0,,,413.0,387.32,2026-07-15 17:57:35
武清仓,维修库位,Learn and Play,674288,9787540893699,英语天天练小学核心900词（书号版）,20,0,,,413.0,105.88,2026-07-15 17:57:35
武清仓,维修库位,Learn and Play,682788,ZNNR250113101,NEXT-英语天天练SVIP 1000词+3000词+1000句礼盒（书号版）,6,0,,,413.0,24.55,2026-07-15 17:57:35
武清仓,维修库位,智能内容,580151,9787551168892,摩比思维机中华古诗词学习包,3,0,,,613.0,4.03,2026-07-15 17:57:35
武清仓,维修库位,智能内容,591086,9787830124038,纵横华夏,78,0,,,451.5,45.58,2026-07-15 17:57:35
武清仓,维修库位,智能内容,610331,9787558919145,摩比启蒙机X200-十万个为什么科普包,1,0,,,613.0,0.1,2026-07-15 17:57:35
武清仓,维修库位,智能内容,610334,9787547748039,摩比启蒙机X200-Little A-Z 英语0级 表达篇,5,0,,,613.0,0.64,2026-07-15 17:57:35
武清仓,维修库位,智能内容,610463,9787551164672A,摩比启蒙机X200-剑桥英语启蒙三合一,8,0,,,613.0,0.92,2026-07-15 17:57:35
武清仓,维修库位,智能内容,610464,9787551164764A,摩比启蒙机X200-摩比拼音速拼,3,0,,,613.0,0.22,2026-07-15 17:57:35
武清仓,维修库位,智能内容,610465,9787551168892A,摩比启蒙机X200-摩比中华古诗词,14,0,,,613.0,0.35,2026-07-15 17:57:35
武清仓,维修库位,智能内容,610466,9787571023478A,摩比启蒙机X200-四五快读识字,10,0,,,613.0,0.49,2026-07-15 17:57:35
武清仓,维修库位,智能内容,649435,9787548956648,摩比启蒙机X200-摩比唱玩认知大百科（书号版）,6,0,,,543.67,0.17,2026-07-15 17:57:35
武清仓,维修库位,智能内容,649437,9787548956709,摩比启蒙机x200-小猪佩奇好性格（书号版）,1,0,,,613.0,0.06,2026-07-15 17:57:35
武清仓,维修库位,智能内容,649438,9787548956716,摩比启蒙机X200-小猪佩奇好习惯（书号版）,1,0,,,613.0,0.02,2026-07-15 17:57:35
武清仓,维修库位,智能内容,649441,9787548956686,摩比启蒙机X200-迪士尼动手玩计算（书号版）,1,0,,,613.0,0.11,2026-07-15 17:57:35
武清仓,维修库位,智能内容,649460,9787548956693,摩比启蒙机X200-小猪佩奇爱表达（书号版）,4,0,,,613.0,0.17,2026-07-15 17:57:35
武清仓,维修库位,智能内容,652720,6975619721063,摩比启蒙机X200-剑桥英语三合一Level 1,4,0,,,613.0,0.38,2026-07-15 17:57:35
武清仓,维修库位,智能内容,652721,6975619721070,摩比启蒙机X200-剑桥英语三合一Level 2,2,0,,,613.0,0.24,2026-07-15 17:57:35
武清仓,维修库位,智能内容,652722,6975619721087,摩比启蒙机X200-剑桥英语三合一Level 3,2,0,,,594.0,0.87,2026-07-15 17:57:35
武清仓,维修库位,智能内容,659123,6975619721094,摩比启蒙机X200-剑桥英语启蒙预备级,1,0,,,613.0,0.16,2026-07-15 17:57:35
武清仓,维修库位,智能内容,676537,9787547746547B,摩比启蒙机X200-摩比数学思维学习包·种子篇（实验版）,2,0,,,597.0,0.28,2026-07-15 17:57:35
武清仓,维修库位,智能内容,687243,9787548960324,摩比数学玩具·数感小镇探险,55,0,,,433.07,117.86,2026-07-15 17:57:35
武清仓,维修库位,智能内容,687244,9787548960300,摩比数学玩具·探访图形王国,32,0,,,453.78,92.9,2026-07-15 17:57:35
武清仓,维修库位,智能内容,687245,9787548960317,摩比数学玩具·逻辑世界之旅,138,0,,,394.35,116.07,2026-07-15 17:57:35
