仓库,仓库类型,货主,货品ID,货品编号,货品名称,装帧形式,货品件数,空盒子库存,空盒子货品编码,空盒子货品名称,可维修数量,平均库龄,周转天数,同步时间
武清仓,维修库位,智能内容,584125,9787556521654,Reading A-Z美国小学同步阅读. 2级(2023)下,盒装,219,994,HZ9787556521654,（盒子）Reading A-Z美国小学同步阅读. 2级(2023)下,219,617.28,20.66,2026-07-21 10:34:03
武清仓,维修库位,智能内容,584124,9787556521647,Reading A-Z美国小学同步阅读. 1级(2023)下,盒装,192,826,HZ9787556521647,（盒子）Reading A-Z美国小学同步阅读. 1级(2023)下,192,619.0,9.05,2026-07-21 10:34:03
武清仓,维修库位,智能内容,500781,9787510686238,学而思秘籍小学数学思维培养11级（智能教辅）,盒装,188,400,HZ9787510686238,(盒子)学而思秘籍小学数学思维培养11级（智能教辅）,188,619.0,41.99,2026-07-21 10:34:03
武清仓,维修库位,智能内容,572370,9787121456527,零基础英语,盒装,170,1508,HZ9787121456527,（盒子）零基础英语,170,617.24,7.89,2026-07-21 10:34:03
武清仓,维修库位,智能内容,584127,9787556521678,Reading A-Z美国小学同步阅读. 4级(2023)下,盒装,148,457,HZ9787556521678,（盒子）Reading A-Z美国小学同步阅读. 4级(2023)下,148,619.0,13.33,2026-07-21 10:34:03
武清仓,维修库位,智能内容,584128,9787556521685,Reading A-Z美国小学同步阅读. 5级(2023)下,盒装,139,428,HZ9787556521685,（盒子）Reading A-Z美国小学同步阅读. 5级(2023)下,139,619.0,15.72,2026-07-21 10:34:03
武清仓,维修库位,智能内容,589528,9787556521708,Reading A-Z美国小学同步阅读. 7级(2023)下,盒装,133,765,HZ9787556521708,（盒子）Reading A-Z美国小学同步阅读. 7级(2023)下,133,619.0,21.19,2026-07-21 10:34:03
武清仓,维修库位,智能内容,584126,9787556521661,Reading A-Z美国小学同步阅读. 3级(2023)下,盒装,121,466,HZ9787556521661,（盒子）Reading A-Z美国小学同步阅读. 3级(2023)下,121,619.0,12.53,2026-07-21 10:34:03
武清仓,维修库位,智能内容,500780,9787510686245,学而思秘籍小学数学思维培养12级（智能教辅）,盒装,114,213,HZ9787510686245,(盒子)学而思秘籍小学数学思维培养12级（智能教辅）,114,619.0,34.55,2026-07-21 10:34:03
武清仓,维修库位,智能内容,584132,9787556521739,Reading A-Z美国小学同步阅读. 10级(2023)下,盒装,103,300,HZ9787556521739,（盒子）Reading A-Z美国小学同步阅读. 10级(2023)下,103,617.45,13.49,2026-07-21 10:34:03
武清仓,维修库位,智能内容,584129,9787556521692,Reading A-Z美国小学同步阅读. 6级(2023)下,盒装,102,489,HZ9787556521692,（盒子）Reading A-Z美国小学同步阅读. 6级(2023)下,102,619.0,11.81,2026-07-21 10:34:03
武清仓,维修库位,智能内容,584130,9787556521715,Reading A-Z美国小学同步阅读. 8级(2023)下,盒装,100,449,HZ9787556521715,（盒子）Reading A-Z美国小学同步阅读. 8级(2023)下,100,619.0,14.38,2026-07-21 10:34:03
武清仓,维修库位,智能内容,584131,9787556521722,Reading A-Z美国小学同步阅读. 9级(2023)下,盒装,83,505,HZ9787556521722,（盒子）Reading A-Z美国小学同步阅读. 9级(2023)下,83,618.11,11.23,2026-07-21 10:34:03
武清仓,维修库位,智能内容,649833,9787501267590,迪士尼英语1级,盒装,80,298,HZ9787501267590,（盒子）迪士尼英语1级,80,619.0,20.63,2026-07-21 10:34:03
武清仓,维修库位,智能内容,595376,9787572271366,摩比爱数学 探索篇 智能版,盒装,69,219,HZ9787572271366,（盒子）摩比爱数学 探索篇 智能版,69,618.09,32.68,2026-07-21 10:34:03
武清仓,维修库位,智能内容,533731,9787513822879,Hello English Readers分级阅读1级（上）,盒装,68,258,HZ9787513822879,(盒子)Hello English Readers分级阅读1级（上）,68,619.0,66.52,2026-07-21 10:34:03
武清仓,维修库位,智能内容,658995,9787550521841,小学数学思维培养4级（智能教辅2024新）,盒装,66,276,HZ9787550521841,(盒子)小学数学思维培养4级（智能教辅2024新）,66,617.0,16.45,2026-07-21 10:34:03
武清仓,维修库位,智能内容,500787,9787510686177,学而思秘籍小学数学思维培养5级（智能教辅）,盒装,61,350,HZ9787510686177,(盒子)学而思秘籍小学数学思维培养5级（智能教辅2024）,61,619.0,11.88,2026-07-21 10:34:03
武清仓,维修库位,智能内容,658997,9787550521858,小学数学思维培养3级（智能教辅2024新）,盒装,56,202,HZ9787550521858,(盒子)小学数学思维培养3级（智能教辅2024新）,56,617.02,14.96,2026-07-21 10:34:03
武清仓,维修库位,智能内容,658996,9787550521810,小学数学思维培养7级（智能教辅2024新）,盒装,55,658,HZ9787550521810,(盒子)小学数学思维培养7级（智能教辅2024新）,55,546.36,11.46,2026-07-21 10:34:03
武清仓,维修库位,智能内容,658994,9787550521803,小学数学思维培养6级（智能教辅2024新）,盒装,52,787,HZ9787550521803,(盒子)小学数学思维培养6级（智能教辅2024新）,52,617.0,22.29,2026-07-21 10:34:03
武清仓,维修库位,智能内容,537645,9787572237287,小学英语周周学 2级 上册,盒装,47,790,HZ9787572237287,(盒子)小学英语周周学 2级 上册,47,617.04,24.88,2026-07-21 10:34:03
